[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1023, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1022, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1021, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1020, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1019, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1018, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1017, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1016, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1015, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1014, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1013, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1012, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1011, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1010, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1009, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1008, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1007, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1006, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1005, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1004, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1003, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1002, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1001, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=1000, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=999, errno=104
[2026-08-14 04:18:36] [WARN] [worker.cpp:1264] 读错误: fd=998, errno=104
